trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,Ref Number,comment_txt
30,BIOL,234,A,CELL BIOLOGY,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Pazehoski,74,BIOL 233
30,BIOL,234,M,LABORATORY,0,,,,R,,10:05:00 AM,12:59:00 PM,Antoszewski,75,
30,BIOL,234,M,LABORATORY,0,,,,R,,10:05:00 AM,12:59:00 PM,Antoszewski,76,LAB FEE
30,BIOL,234,N,LABORATORY,0,,T,,,,2:30:00 PM,5:30:00 PM,Yowler,77,
30,BIOL,234,N,LABORATORY,0,,T,,,,2:30:00 PM,5:30:00 PM,Yowler,78,LAB FEE
30,BIOL,234,O,LABORATORY,0,,,,R,,2:30:00 PM,5:30:00 PM,Yowler,79,
30,BIOL,234,O,LABORATORY,0,,,,R,,2:30:00 PM,5:30:00 PM,Yowler,80,LAB FEE
10,BIOL,301,A,ADVANCED GENETICS,4,,T,,R,,10:05:00 AM,11:20:00 AM,Stauff,81,BIOL 233 234; MBIO Majors
10,BIOL,301,L,LABORATORY,0,,T,,R,,11:30:00 AM,12:45:00 PM,Stauff,82,LAB FEE
10,BIOL,305,A,PLANT TAXONOMY,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Dudt,83,BIOL 234
10,BIOL,305,L,LABORATORY,0,,,W,,,2:00:00 PM,4:59:00 PM,Dudt,84,LAB FEE
30,BIOL,310,A,ZOONOTIC DISEASE AND PUBLIC HEALTH,4,,T,,R,,11:30:00 AM,12:45:00 PM,Farone,85,BIOL 234
30,BIOL,310,L,LABORATORY,0,,,,,F,1:00:00 PM,2:59:00 PM,Farone,86,LAB FEE
10,BIOL,313,A,HISTOLOGY,3,,T,,R,,1:00:00 PM,2:15:00 PM,Farone,87,BIOL 234
30,BIOL,320,A,CONSERVATION/WILDLIFE BIOLOGY,4,M,,W,,F,8:00:00 AM,8:50:00 AM,Wood,88,BIOL 234
30,BIOL,320,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Wood,89,LAB FEE
30,BIOL,322,A,THE BIOLOGY OF CANCER,3,M,,W,,F,12:00:00 PM,12:50:00 PM,Antoszewski,90,BIOL 234
30,BIOL,326,A,EVOLUTIONARY BIOLOGY,3,,T,,R,,10:05:00 AM,11:20:00 AM,Dudt,91,BIOL 234
